Connector C,,,Anchor E,,,Connector K,,,Anchor M,,
X,Y,SPEED,X,Y,SPEED,X,Y,SPEED,X,Y,SPEED
-25.000000006249998,29.058828989583326,0.000000000000000,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-10.084222804166666,0.000000000000000,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249998,28.702839982760413,10.679670204687426,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249994,-9.886746435831313,5.924291050060581,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249991,28.331137050100033,11.151087979811427,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249991,-9.700002007205304,5.602332858780260,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249994,27.944816840326219,11.589606293214402,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-9.524595627803530,5.262191382053246,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250001,27.545080476430314,11.992090916877082,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249994,-9.361162693163356,4.902988039205218,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249984,27.133233910202147,12.355396986845046,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-9.210368940947355,4.523812566480025,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250001,26.710687548627810,12.676390847230069,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-9.072910914418728,4.123740795858795,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250005,26.278954982418561,12.951976986277527,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249994,-8.949515678098708,3.701857089600629,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250005,25.839650616749715,13.179130970065406,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-8.840939609277688,3.257282064630556,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250001,25.394485974360727,13.354939271669611,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-8.747966070101759,2.789206175277913,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249998,24.945264414282839,13.476646802336575,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-8.671401750703218,2.296929581956214,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250001,24.493873989525909,13.541712742707990,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-8.612071467536014,1.779908495016108,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250005,24.042278159205999,13.547874909597230,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-8.570811206669173,1.237807826005233,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249998,23.592504081128666,13.493222342319960,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-8.548459223773843,0.670559486859886,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250005,23.146628246883623,13.376275027351374,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006250001,-8.545845055561397,0.078425046373411,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249994,22.706759290315006,13.196068697058458,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-8.563776365690394,0.537939303869927,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249998,22.275017908023774,12.952241468736947,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249994,-8.603023644521643,1.177418364937495,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006250001,21.853513980880514,12.645117814297800,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-8.664302906997586,1.838377874278265,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249991,21.444321177269558,12.275784108328724,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-8.748256683177409,2.518613285394712,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249994,21.049449544161263,11.846148993248827,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-8.855433763753522,3.215312417283371,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249984,20.670816835167692,11.358981269807103,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-8.986268335216788,3.925037143898015,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249984,20.310219561052463,10.817918223456923,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249994,-9.141059298392273,4.643728895264524,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249994,19.969304946439376,10.227438438392557,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-9.319950688665600,5.366741708199763,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249994,19.649545102428721,9.592795320319651,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249998,-9.522914184634539,6.088904879068227,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249991,19.352214747230381,8.919910655950201,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249994,-9.749734685640369,6.804615030174889,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249994,19.078373704630700,8.215231277990481,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249994,-9.999999846482632,7.507954825267912,-5.000000054166666,5.000000054166666,0.000000000000000
-25.000000006249994,18.828855178580056,7.485555781519332,-44.999999958333326,5.000000054166666,0.000000000000000,-25.000000006249994,-10.273094279217910,8.192832982058324,-5.000000054166666,5.000000054166666,0.000000000000000
